Adventure Path Name,Adventure Path Link,Adventure,Adventure Name,Adventure Description
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,Skeletons of Scarwall,https://pathfinderwiki.com/wiki/Skeletons_of_Scarwall,"Condemned by a history of horrors, an army of the living dead stands between Korvosa and its only hope for salvation. Within the grim fastness of haunted Scarwall, the lifeless legions of the ancient warlord Kazavon guard the same accursed halls they've stalked for more than 700 years. Crossing a forsaken land to reach the infamous citadel's dreaded gates, the PCs must explore the foul castle's haunted halls, contend with otherworldly terrors, and purge the taint of Kazavon's final days before having any hope of finally breaking the Curse of the Crimson Throne."
Curse of the Crimson Throne,https://pathfinderwiki.com/wiki/Curse_of_the_Crimson_Throne,Crown of Fangs,https://pathfinderwiki.com/wiki/Crown_of_Fangs,"Korvosa withers in the grip of a mad monarch! Beaten down by riots, disease, and the ironclad enforcers of a cruel despot, the people shudder in their homes and pray for saviours. The time has come to rise up against the crazed Queen Ileosa Arabasti and put an end to her vicious rule. Yet within the walls of Castle Korvosa waits an army of soldiers, bodyguards, and diabolical monstrosities?to say nothing of the seemingly invincible queen herself. Can the PCs put an end to a tyrant's reign? Or will an ancient evil claim Korvosa once and for all? All is decided in this, the fateful climax of the Curse of the Crimson Throne Adventure Path!"
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,Shadow in the Sky,https://pathfinderwiki.com/wiki/Shadow_in_the_Sky,"A foul omen looms over the city of Riddleport. What could the dark blot over the city of swindlers and thieves mean? Apocalyptic whispers fill the street, priests search for signs from their gods, and rumours of strange happenings shake the city. Could this ominous portent be the work of a scheming crimeboss, mysterious cyphermages, or a petty pirate lord? Or does it prophesize some new menace come to Golarion? A step into Riddleport's high-stakes underworld of sin and debauchery reveals that not all in the pirate's paradise is as it seems. Only PCs can foil a terrible new plot that reaches from below to take hold of Varisia's city of sin."
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,Children of the Void,https://pathfinderwiki.com/wiki/Children_of_the_Void,"A star has fallen and the rush is on! While the crimelords of Riddleport race to be the first to claim the mysterious meteorite, dark works are afoot at the crash site on Devil?s Elbow. Things not of this world claw their way forth from skymetal prisons, hungry for new prey and ready to spread their alien seed across an unsuspecting world. Can the PCs put an end to a terror that comes from beyond the night sky and the diabolical magic that summoned it forth?"
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,The Armageddon Echo,https://pathfinderwiki.com/wiki/The_Armageddon_Echo,"The city of Celwynvian hides a terrible sin. For countless centuries the elves of the Mierani Forest have barred outsiders from the fabled City of Emerald Rains, in a desperate attempt to contain an ancient shame. But as a new power rises in the depths, the elves? secret threatens not only to escape, but to rain down devastation upon the entire world. In desperation, elven eyes fall to a band of outsiders for aid. Tread the forsaken ground of Celwynvian, once one of the greatest capitals of elven culture, now a graveyard haunted by the spirits of the past, foul dragons, demons, and worse. Discover the darkest secret of the Mierani Forest and the truth of the cataclysm known as Earthfall. And dare to shed the bonds of eternity and pay witness to an apocalypse that has borne out a thousand times and threatens to devastate Golarion once more!"
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,Endless Night,https://pathfinderwiki.com/wiki/Endless_Night,"Far below the world of light, a cavity of unspeakable evil spreads an ancient hatred through the darkness. From their city of Zirnakaynin the dark elves rule an empire of lies and dark magic. Already their foul ambitions grasp for the world above, threatening a cataclysm beyond reckoning and the advent of a second Age of Darkness. Only by taking on the disguises of dark elves themselves and invading the capital of the drow can the PCs discover their enemies? true faces and put an end to their world-shattering plot. But what hope for survival can natives of the surface have in a merciless realm of endless night?"
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,A Memory of Darkness,https://pathfinderwiki.com/wiki/A_Memory_of_Darkness,"With the end of everything looming among the stars, the time has come for decisive action among the races of the surface world. But old prejudices die hard, and not all in the elven nation of Kyonin believe the dire portents of doom from the heavens. Among the stoic court of the queen of the elves, lies and schemes run rampant, and some would rather see a second Age of Darkness than the revelation of their conspiracies. Can the PCs root out the corruption that festers inside the elven homeland and dare the demon-haunted forest that shelters a secret now threatening to destroy the entire world?"
Second Darkness,https://pathfinderwiki.com/wiki/Second_Darkness,Descent into Midnight,https://pathfinderwiki.com/wiki/Descent_into_Midnight,"In the depths of the earth, in a realm distant from the lands of light, the drow recite the final incantations necessary to bring about the end of the hated surface world. Their enemies lie defeated, and no nation rises to thwart them. Only a small band of unlikely saviors stands against the dark elves' apocalyptic plan. Braving the ageless and accursed Land of Black Blood?an entire world within the world?the PCs have but a single chance to shatter the spell that threatens to throw all of Golarion into a Second Age of Darkness. But in the face of drow, demons, and terrors long banished to the depths of the earth, can there actually be any hope for victory, or is the end truly at hand?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,Howl of the Carrion King,https://pathfinderwiki.com/wiki/Howl_of_the_Carrion_King,"In the exotic nation of Katapesh, a land of fortune and wonders, heroes are those with the courage to command their destinies. Such wisdom leads a daring band to the abandoned village of Kelmarane with the hopes of reestablishing the once prosperous community. But buzzards still feast upon the secluded settlement?s corpse: a savage tribe of gnolls and their bestial allies hold the town in the name of a merciless master known only as the Carrion King. Can the PCs retake the village from its feral conquerors, or is Kelmarane but the first bastion of civilization to fall before the hordes of the mysterious warlord?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,House of the Beast,https://pathfinderwiki.com/wiki/House_of_the_Beast,"For ages, the House of the Beast has loomed, black, ominous, and abandoned, a fortress of depravity raised by followers of the god of destruction. Now, a new evil has taken root within the dark citadel and the beastmen of the Carrion King threaten to cast the land into a new era of savagery. Only a strike against the murderous warlord himself can topple the ravenous gnoll war machine, but such a bold assault means a raid on the House of the Beast itself. Do the PCs dare enter the crumbling halls of this accursed fortress? And what treasures lie within the ruins? depths that even the merciless Carrion King fears to claim?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,The Jackal's Price,https://pathfinderwiki.com/wiki/The_Jackal%27s_Price,"A mysterious map discovered in the belly of an ancient ruin has all of Katapesh intrigued. Yet none can decipher the strange markings, nor confirm much about the scroll's purpose. In order to learn more, a trip to the sprawling market city of Katapesh itself must be mounted. Yet others want the map for themselves?scheming mechants, enraged gnolls, and even a murderous society that seeks the treasure as their own. What could be so hidden within that could drive so many to such desperate acts of violence and mayhem? Is this artifact truly the one and only Scroll of Kakishon, and does the one who controls it control the entire world?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,The End of Eternity,https://pathfinderwiki.com/wiki/The_End_of_Eternity,"Hidden amid the tattered parchment and mundane ink of a mysterious map hides the fabulous paradise of Kakishon. A realm of mystical wonders, mythical beasts, and legendary treasures, this long-lost creation of one of history?s greatest wizards once again inspires the bold to seek its wonders. Yet time, ancient magic, and bitter rivalries work to corrupt the incredible realm, turning it into both paradise and prison. Can they tame the powers of Kakishon?s magical islands and best the masters of the wondrous land? Or will they forever be prisoners of paradise?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,The Impossible Eye,https://pathfinderwiki.com/wiki/The_Impossible_Eye,"A world of fire and wonder awaits! The path of the planes is fickle, and the PCs' road home proves far more difficult than any had anticipated. Emerging from the pleasure plane of Kakishon reveals all the wealth and terror of a vast efreeti palace, tightly sealed by ancient magics and situated at the heart of the incredible City of Brass. In this lavish citadel of sculpted flame, the PCs gain a glimpse into the burning obsession of their hidden foe. But will their discoveries be of any help to their imperiled world, hidden away in some distant reality? And can they ever hope to escape a prison that has for untold centuries caged some of the most powerful creatures of a realm of endless flame?"
Legacy of Fire,https://pathfinderwiki.com/wiki/Legacy_of_Fire,The Final Wish,https://pathfinderwiki.com/wiki/The_Final_Wish,"Fear and ruin grip the land as the long-imprisoned army of a mad genie renews its ancient war. From the streets of the exotic city of Katapesh to the shadow of cursed Pale Mountain, this horde of immortal warriors leaves only fire and ruin in its wake. Empowered and perverted by the granting of wild wishes, this seemingly invincible legion strangles the realm in its fearful grasp as an obsessed general stokes the embers of an age-old devastation. Can the PCs save Katapesh from both a burning tyrant and the resurrection of a living apocalypse? Find out in this, the climax of the Legacy of Fire Adventure Path!"
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),The Bastards of Erebus,https://pathfinderwiki.com/wiki/The_Bastards_of_Erebus,"The city of Westcrown is dying. Since being stripped of its station as the capital of Cheliax, the wealth and prestige of the city has gradually slipped away, leaving the desperate people to fend for themselves in a city beset by criminals, a corrupt nobility, and a shadowy curse. Can the PCs fight back against champions of both the law and the criminal world?"
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),The Sixfold Trial,https://pathfinderwiki.com/wiki/The_Sixfold_Trial,"To banish the monstrous shadows that stalk Westcrown by night, the PCs go undercover, joining the city?s chaotic theatrical community in an elaborate plot to infiltrate the estate of the decadent lord-mayor. Yet theater life turns deadly when they become players in a spectacle no actor has ever survived. Can the PCs endure their debut performance in a city where an actor?s first big hit is often his last?"
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),What Lies in Dust,https://pathfinderwiki.com/wiki/What_Lies_in_Dust,"In Westcrown, darkness brings fear and death, the night haunted by the spawn of a terrible curse. Striving to free the city from its decades-old blight, the PCs must reveal a long-buried secret and a treasure locked away for ages. Their journey will set them against the scum of Westcrown?s underworld, denizens of the haunted night, and the very forces of Hell itself, all in an attempt to rekindle the memories of long-dead spirits with stories still to tell. Yet what those souls reveal might prove even deadlier than the city?s midnight curse."
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),The Infernal Syndrome,https://pathfinderwiki.com/wiki/The_Infernal_Syndrome,"In the bowels of one of Westcrown?s most esteemed halls of power lies an unfathomable evil, a terror beyond all reason and sanity, shackled and broken by the magic of a lost archmage. For years this menace has laid fuming, endlessly testing the bars of its prison, gathering its hatred and planning its revenge. Now the machinations of a deadly conspiracy have weakened the chains of this nightmare?s bonds, and in their growing cracks rise the flames of the damned and the promise of Westcrown consumed in hellfire. Can the PCs infiltrate the labyrinth of a madman to put an end to an evil beyond even the heroes of legend? And what foulness would seek to ruin all of Westcrown by gambling with its very soul?"
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),Mother of Flies,https://pathfinderwiki.com/wiki/Mother_of_Flies,"Leaderless and disorganized, the city of Westcrown reels after a terrifying incursion from the infernal realm. Yet while fiends stalked the streets, a more insidious rebellion unfolded below. Now a new power rises to lay claim to all of Westcrown! Only the insight of a crazed witch might aid the PCs in curtailing this dastardly coup. But can they hope to stand against the true masters of a city poised on the brink of ruin?"
Council of Thieves ,https://pathfinderwiki.com/wiki/Council_of_Thieves_(adventure_path),The Twice-Damned Prince,https://pathfinderwiki.com/wiki/The_Twice-Damned_Prince,"Their deception revealed and their plans waylaid, two deadly and Hell-touched siblings make a desperate final play for control of Westcrown. With the city in chaos and its leaders fled, few stand to defend the beleaguered people when the plots of fiends turn upon them. At the same time, the rulers of Cheliax launch their own ruthless plot to retake control. Can the PCs return order and shatter the Council of Thieves? age-old stranglehold on Westcrown once and for all? Or will the former capital slide fully into the grip of a terrible new deviltry?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),Stolen Land,https://pathfinderwiki.com/wiki/Stolen_Land,"Enter the Stolen Lands, a wilderness claimed by nobles, bandits, and beasts alike. Into this territory the fractious country of Brevoy sends its emissaries, tasking them with subduing the lawless folk and deadly creatures that have made it a realm of savagery and shame. Beyond the last rugged frontier stretches the home of voracious monsters, capricious fey, wily natives, and bandits who bow to the rule of a merciless lord none dare defy. Can the PCs survive the Stolen Lands, bring their dangers to heel, and lay the foundations of a new kingdom? Or will they just be one more fateful band, lost forever to the ravenous wilds?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),Rivers Run Red,https://pathfinderwiki.com/wiki/Rivers_Run_Red,"With the heart of the Stolen Lands explored and the bandits who ruled there scattered, the long-contested realm finally lies open for pioneers and settlers to stake their claims. Amid the rush of opportunistic travelers, the PCs find themselves stewards over a new domain, tasked with the responsibility of guiding and guarding a fledgling nation struggling to grow upon a treacherous borderland. Yet the threats to this new nation quickly prove themselves greater than mere bandits and wild beasts, as the monstrous natives of the hills and forests rampage forth to slaughter all who have trespassed upon their territory. Can the PCs hold the land they?ve fought so hard to explore and tame? Or will their legend be just one more lost to the fangs of the Stolen Lands?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),The Varnhold Vanishing,https://pathfinderwiki.com/wiki/The_Varnhold_Vanishing,"The Stolen Lands consume many wanderers?the perils of its rugged wildernesses and hidden mysteries prey upon even the wariest of travelers. Founded upon one of the most savage frontiers, the colony of Varnhold defied the many dangers of this harsh region. At least, it did until all the residents of the fledgling community completely disappeared. Now it falls to the PCs to discover what became of their eastern neighbor, a secret steeped in generations-old hatreds and the mysteries of an empire long crumbled to dust. Can they uncover the terrible secret behind this shocking disappearance before the same calamity befalls their own land?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),Blood for Blood,https://pathfinderwiki.com/wiki/Blood_for_Blood,"Even with the PCs? kingdom growing at their heart, the Stolen Lands are far from tame. An incursion by merciless barbarians spills blood on the PCs? lands and begins a search for a legendary artifact in the depths of the region?s most infamous wilderness. Amid the perpetual shadows and bottomless bogs of the Hooktongue Slough lie long-mired secrets and terrors eager to consume any who intrude upon their fetid realm. Yet what powers that lurk beyond the swamp seek to end the PCs? reign? And how might a single, bloodthirsty blade mean the difference between their kingdom?s ruin and its survival?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),War of the River Kings,https://pathfinderwiki.com/wiki/War_of_the_River_Kings,"Can two kings truly trust one another? King Irovetti, ruler of Pitax and potential rival to the leaders of the eastern Stolen Lands, opens his gates and hospitality to the lords of that realm. Within his city of shallow indulgences and crude decadence, he hosts a tournament ostensibly meant to foster friendship and peace, but fraught with dangers all its own. Is the King of Pitax?s good will sincere, or does he harbor a more sinister goal? And are the PCs fated to gain an opponent who commands not only a nation, but allies from a deadly other realm?"
Kingmaker ,https://pathfinderwiki.com/wiki/Kingmaker_(adventure_path),Sound of a Thousand Screams,https://pathfinderwiki.com/wiki/Sound_of_a_Thousand_Screams,"With the dangers of the Stolen Lands brought to heel, the PCs rule as lords of that realm. But from an unassuming corner of their kingdom, a centuries-old plot takes shape, turning the land itself into a deadly enemy that threatens to bring their entire nation to ruin. As the boundary between the Stolen Lands and an insane other world begins to break down, it?s up to the PCs to save their people from nature gone mad and the emissaries of a reality beyond imagining. But can they retain their kingdom?and their sanity?against the fury of the First World?"
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),Souls for Smuggler's Shiv,https://pathfinderwiki.com/wiki/Souls_for_Smuggler%27s_Shiv,"A deadly storm shipwrecks the passengers and crew of the Jenivere upon infamous Smuggler's Shiv, an island off the coast of the jungle realm of Sargava. If they?re to have any hope of escaping the notorious pirates? graveyard, the survivors will need to band together to outwit the isle?s strange beasts and legendary menaces. But can the PCs unite the swift-to-squabble castaways, especially when several seem to have mysterious goals of their own? And does Smuggler's Shiv hide secrets even deadlier than its desperate denizens?"
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),Racing to Ruin,https://pathfinderwiki.com/wiki/Racing_to_Ruin,"The heroes venture to the desperate capital of the failing jungle colony Sargava to supply for an overland journey to Saventh-Yhi, the lost Azlanti City of Seven Spears. There they become embroiled in intrigue with the Pathfinder Society, the Aspis Consortium merchant league, the Pirate Lords of the Shackle Isles, and the deadly Red Mantis assassins, rivals who also seek to plunder the lost city for their own purposes. Each group uses its unique tactics to pressure the heroes into an alliance, with Sargava?s leaders promising a huge reward to the explorers who can successfully discover and explore the ruined city. With enemy factions hot on their heels, tons of unexpected encounters, and a waiting tribe of monkey-men, will the heroes survive the Screaming Jungle to reach the lost city of Saventh-Yhi before it?s too late?"
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),City of Seven Spears,https://pathfinderwiki.com/wiki/City_of_Seven_Spears,"The heroes at last emerge from the trackless jungles of the Mwangi Expanse to discover the vine-choked lost city of Saventh-Yhi, ruined outpost of the ancient kingdom of Azlant. With seven spear-like monolith towers peaking above the verdant canopy and crumbling causeways echoing with the savage cries of unknown predators, the city promises untold wealth to those brave enough to claim it. But the heroes are not alone, for their allies and enemies among Sargava?s colonist government, the Pathfinder Society, the Aspis Consortium merchant league, the Pirate Lords of the Shackle Isles, and the mysterious assassins of the Red Mantis also have designs upon the treasures of the City of Seven Spears, and the race is on to plunder the riches of the city?s many adventure sites."
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),Vaults of Madness,https://pathfinderwiki.com/wiki/Vaults_of_Madness,"A strange swashbuckler rescued in the City of Seven Spears reveals the secret beneath Saventh-Yhi ? a forgotten serpentfolk city called Ilmurea, inspiration for the superstitious native fears of a terrible evil lurking just underfoot. The heroes must accompany their new ally to rescue her captured companions in the city below, braving the trap-laden, monster-infested Vaults of Madness that stand between Saventh-Yhi and Ilmurea. But just as they venture forth, a new inhabitant takes up residence in the City of Seven Spears ? the legendary Gorilla King himself!"
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),The Thousand Fangs Below,https://pathfinderwiki.com/wiki/The_Thousand_Fangs_Below,"The heroes explore the lost underground serpentfolk city of Ilmurea only to discover that it is not nearly as abandoned as they had thought. Feral descendants of the original Azlanti inhabitants of the surface City of Seven Spears have degenerated into subterranean morlocks, devolving into madness and evil over thousands of years. Malign creatures from throughout the Darklands flock to Ilmurea to prey upon these dwellers, and serpentfolk from around the world flock to Ilmurea, beckoned by the severed head of their slain ophidian god, Ydersius. A grim ritual, already in progress, will use the power of the Serpent's Skull to restore the serpentfolk of Golarion to their true, terrible potential, instantly creating a new menace below all the nations of the world. A lost Pathfinder holds the key to disrupting the ritual, but before his plan can be executed he must first be rescued from his underground prison."
Serpent's Skull ,https://pathfinderwiki.com/wiki/Serpent%27s_Skull_(adventure_path),Sanctum of the Serpent God,https://pathfinderwiki.com/wiki/Sanctum_of_the_Serpent_God,"Returning from battles against serpentfolk in the underworld, the heroes must raise an army among the war-torn jungle ruins of Saventh-Yhi to annihilate the growing evils below. Yet raising such a force tests not just their diplomatic skills, but subjects them to brutal tests of courage and strength. With a savage army united, a path to the serpentfolk stronghold beneath the city must be opened, requiring the activation of an ancient device that drops seven of the city's massive towers to impale the accursed ruins below. As the warriors of the jungles do battle with legions of snakemen, the heroes make their way to the temple of the snake god Ydersius to face the serpentfolk's mad high priest and disrupt a ritual threatening to return the ancient evil god to terrible life."
Carrion Crown,https://pathfinderwiki.com/wiki/Carrion_Crown,The Haunting of Harrowstone,https://pathfinderwiki.com/wiki/The_Haunting_of_Harrowstone,"The prison of Harrowstone has long been an empty ruin, haunted by more than the mysteries and memories of a tragic past. When invaded by the death-crazed servants of the Whispering Way, a cult dedicated to the service of the infamous lichTar-Baphon, Harrowstone?s long-quiet population of ghostly inmates rises in an undead revolt. Brought together by the death of an ally, the heroes unite to save the residents of a tormented town and lay the spirits of Harrowstone to rest. Yet doing so brings new life to a long-forgotten mystery, where avenging an innocent?s murder means putting an end to some of Ustalav?s most infamous criminals for a second time."
Carrion Crown,https://pathfinderwiki.com/wiki/Carrion_Crown,Trial of the Beast,https://pathfinderwiki.com/wiki/Trial_of_the_Beast,"The Beast of Lepidstadt, a savagely cunning flesh golem, has long terrorized the simple folk of the land, murdering, robbing, and sowing carnage none can withstand. The mad golem?s reign of terror comes to an end, though, when captured mid-rampage. Yet, rather than destroy the monster, the enlightened council of the city of Lepidstadt insists the obviously thinking creature face a lawful trial. While on the trail of the Whispering Way, the heroes find their fates intertwined with that of the Beast, enlisted to guard it against infuriated townsfolk, scholars of the macabre, and the slaves of its mad creator. When a violent attack releases the berserker, its trail leads to the laboratory lair of a mad scientist and his blasphemous creations, crazed conspirators in the maniacal plot of the Whispering Way."
Carrion Crown,https://pathfinderwiki.com/wiki/Carrion_Crown,Broken Moon,https://pathfinderwiki.com/wiki/Broken_Moon,"When the savage lord of Ustalav?s werewolves is mysteriously murdered, the nation?s forests run with lycanthropic blood. War in the wilds soon spills onto the streets, as the people of the land, seeing the strife among their long-time foes, begin a hunt to scour the nation of the deadly shape-shifters. Entreated by a lord of the werewolves to help unite his savage people, the heroes must risk becoming tainted by the curse of lycanthropy as they race across the heart of the nation to find an outcast heir. But can they do so before bestial assassins and the agents of the Whispering Way find him, or the heroes, first?"
Carrion Crown,https://pathfinderwiki.com/wiki/Carrion_Crown,Wake of the Watcher,https://pathfinderwiki.com/wiki/Wake_of_the_Watcher,"No one goes to Illmarsh, a decrepit village haunted by tales of ghastly midnight rites and sacrifices to shadows from the sea. When the heroes learn of an unholy bargain between the cultists of the Whispering Way and the drowned gods of this wretched town, they must journey through a wilderness gone wrong to prevent it. But an eerie evil has also set its eye on Illmarsh, and the community?s deep lords are the first to fall. Can the heroes discover what foulness festers in the mind of Illmarsh? And will they be able to withstand the whispers of an insanity from beyond the stars?"
Carrion Crown,https://pathfinderwiki.com/wiki/Carrion_Crown,Ashes at Dawn,https://pathfinderwiki.com/wiki/Ashes_at_Dawn,"A killer stalks the streets of Caliphas, a murderer whose victims are already dead. Something is preying upon the ancient vampire clans of Ustalav's capital, a mysterious foe who threatens the centuries-old truce tenuously held by generations of both the living and the undead. Into this madness enter the heroes, closing in on the death cultists of the Whispering Way. What role do the deadly necromancers have in the undead murders plaguing Caliphas? What secret grudge exists between the cult and the rulers of the night? And will the heroes be able to save the capital without sacrificing their very souls?"
